\Thing	=	\Thing
\Thing\Book	>	\Thing\Journal
\Thing\Book	!	\Thing\Chapter
\Thing\Book	<	\Thing\Text
\Thing\Book	>	\Thing\Entry\Book
\Thing\Book	>	\Thing\Entry\Part\BookPart
\Thing\Book	>	\Thing\Entry\Published\BookPart
\Thing\Book	>	\Thing\Entry\Published\Book
\Thing\Book	>	\Thing\Entry\Informal\Booklet
\Thing\Book	>	\Thing\Entry\Informal\Manual
\Thing\Product	>	\Thing\Journal
\Thing\Product	>	\Thing\Entry\Book
\Thing\Product	>	\Thing\Entry\Part\BookPart
\Thing\Product	>	\Thing\Entry\Published\BookPart
\Thing\Product	>	\Thing\Entry\Informal\Booklet
\Thing\Product	>	\Thing\Entry\Informal\Manual
\Thing\Publication	>	\Thing\Journal
\Thing\Publication	>	\Thing\Text
\Thing\Publication	>	\Thing\Entry\Published
\Thing\Publication	>	\Thing\Entry\Book
\Thing\Publication	>	\Thing\Entry\Part\BookPart
\Thing\Publication	>	\Thing\Entry\Informal\Booklet
\Thing\Publication	>	\Thing\Entry\Informal\Manual
\Thing\Misc	>	\Thing\Entry\Informal\Misc
\Thing\Person	=	\Thing\Person
\Thing\Person	>	\Thing\PageRange
\Thing\Person	>	\Thing\PersonList
\Thing\Person	>	\Thing\Publisher
\Thing\Person	>	\Thing\Entry\Academic
\Thing\InBook	>	\Thing\Entry\Book
\Thing\InBook	>	\Thing\Entry\Published\Book
\Thing\InBook	>	\Thing\Chapter\InBook
\Thing\Proceedings	>	\Thing\Entry\Part\InProceedings
\Thing\Proceedings	>	\Thing\Entry\Book\Proceedings
\Thing\Organization	=	\Thing\Organization
\Thing\Organization	>	\Thing\Institution
\Thing\Organization	>	\Thing\School
\Thing\Organization	>	\Thing\Entry\Informal\TechReport
\Thing\Article	>	\Thing\Entry\Part\Article
\Thing\Article	>	\Thing\Entry\Published\Article
\Thing\Booklet	>	\Thing\Entry\Published\Book
\Thing\Booklet	>	\Thing\Entry\Informal\Booklet
\Thing\InProceedings	>	\Thing\Entry\Part\InProceedings
\Thing\InProceedings	>	\Thing\Entry\Book\Proceedings
\Thing\Event	>	\Thing\Organization
\Thing\Event	>	\Thing\Institution
\Thing\Event	>	\Thing\Entry
\Thing\Event	>	\Thing\Chapter
\Thing\Unpublished	!	\Thing\Entry\Published
\Thing\Unpublished	>	\Thing\Entry\Informal\Unpublished
\Thing\InCollection	>	\Thing\Entry\Published\Book\Collection
\Thing\InCollection	>	\Thing\Entry\Book\Book\Collection
\Thing\InCollection	>	\Thing\Chapter\Incollection
\Thing\Manual	>	\Thing\Entry\Informal\Manual
\Thing\Thesis\MasterThesis	<	\Thing\Person
\Thing\Thesis\MasterThesis	>	\Thing\Entry\Academic\Thesis
\Thing\Thesis\PhDThesis	>	\Thing\Entry\Academic\Thesis
\Thing\Person\Employee\TechnicalStaff	<	\Thing\Organization
\Thing\Person\Employee\TechnicalStaff	<	\Thing\School
\Thing\Person\Employee\AdministrativeStaff	<	\Thing\Organization
\Thing\Person\Employee\AdministrativeStaff	<	\Thing\School
\Thing\Person\Employee\AcademicStaff	<	\Thing\Organization
\Thing\Person\Employee\AcademicStaff	<	\Thing\School
\Thing\Organization\Enterprise	>	\Thing\Publisher
\Thing\Organization\University	<	\Thing\Institution
\Thing\Organization\Association	>	\Thing\Chapter
\Thing\Organization\Association	>	\Thing\Entry\Informal\Conference
\Thing\Event\Conference	<	\Thing\Organization
\Thing\Event\Conference	>	\Thing\Entry\Informal\Conference
\Thing\Event\Lecture	>	\Thing\Entry\Academic\LectureNotes
\Thing\Event\Lecture	>	\Thing\Entry\Informal\LectureNotes
